City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Esmeraldas,BR,87.04,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
175,Westport,US,74.98,clear sky,41.1415,-73.3579,The Westport Inn
176,Saint-Joseph,RE,62.98,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
177,Sao Joao Da Barra,BR,73.94,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
178,Maxixe,MZ,64.63,clear sky,-23.8597,35.3472,Oceano
179,Tahta,EG,82.72,clear sky,26.7693,31.5021,El Salam Hotel
182,San Quintin,MX,71.89,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
184,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
185,San Miguel Chicaj,GT,84.7,broken clouds,15.1,-90.4,Parque Central
186,Kawalu,ID,70.7,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
187,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
191,Kalabo,ZM,72.09,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
193,Santa Isabel,BR,74.5,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
198,Nanpiao,CN,61.02,moderate rain,41.0982,120.7479,Xinxing Hotel
200,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
201,Kihei,US,87.82,scattered clouds,20.785,-156.4656,Maui Sunset
202,Tual,ID,79.93,broken clouds,-5.6667,132.75,Grand Vilia Hotel
203,Chuy,UY,61.57,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
205,Xuddur,SO,72.16,broken clouds,4.1213,43.8894,Banjanay Hotel
206,Vanimo,PG,80.71,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
208,Punto Fijo,VE,84.04,clear sky,11.6956,-70.1996,Santa Fe Inn Hotel
209,Olean,US,74.08,clear sky,42.0776,-78.4297,Best Western Plus University Inn
210,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
212,Tuensang,IN,66.83,few clouds,26.2833,94.8333,B.W.D Resthouse.
215,Benguela,AO,70.03,broken clouds,-12.5763,13.4055,Hotel Praia Morena
217,Alexandria,EG,80.56,clear sky,31.2156,29.9553,Royal Crown Hotel
219,Palm Coast,US,82.0,overcast clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
221,Rongcheng,CN,69.42,heavy intensity rain,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
224,Argelia,CO,68.13,light rain,2.2556,-77.2488,Hotel San Fernando Argelia
229,Kununurra,AU,73.38,clear sky,-15.7667,128.7333,Hotel Kununurra
230,Ouargaye,BF,77.74,scattered clouds,11.5033,0.0572,Résidence le Cotonnier
232,General Roca,AR,64.8,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
234,Xinyu,CN,74.34,scattered clouds,27.8043,114.9334,Xinyu Beihu Hotel
235,Alyangula,AU,71.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
242,Maragogi,BR,74.95,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
243,Najran,SA,83.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
244,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
246,Korba,IN,73.89,overcast clouds,22.35,82.6833,Hotel Deendayal
248,Ambulu,ID,73.67,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
252,San Giovanni In Fiore,IT,64.87,clear sky,39.2633,16.6996,Casa Federico B&B
254,Lake City,US,77.04,moderate rain,30.1897,-82.6393,Ramada Limited Lake City
255,Sambava,MG,70.77,light rain,-14.2667,50.1667,Melrose
256,Luang Prabang,LA,71.22,overcast clouds,19.8856,102.1347,Villa Oasis
257,Watertown,US,69.75,few clouds,42.3709,-71.1828,Apt downtown Waltham
258,Yeppoon,AU,67.78,clear sky,-23.1333,150.7333,Villa Mar Colina
259,Noblesville,US,86.11,overcast clouds,40.0456,-86.0086,Quality Inn Noblesville-Indianapolis
260,Sidney,AU,69.31,clear sky,-33.8679,151.2073,The Grace Sydney
262,Tacoronte,ES,69.26,scattered clouds,28.4769,-16.4102,Casa Laurel
264,Baiao,BR,80.19,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
267,Corinto,GR,80.76,clear sky,37.9407,22.9573,Ephira Hotel
269,Khambhaliya,IN,79.43,clear sky,22.2072,69.6683,"Kalyan's Hotel, Banquet & Restaurant."
270,Powell,US,86.16,clear sky,40.1578,-83.0752,The Brig
271,Manali,IN,78.89,overcast clouds,13.1667,80.2667,Sarathy Lodge
274,Ambon,ID,75.34,very heavy rain,-3.6954,128.1814,Swiss-Belhotel Ambon
275,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
276,Unity,CA,62.26,scattered clouds,52.4501,-109.1682,Greenhead Motel & RV Park
278,Portland,US,69.13,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
281,Neka,IR,68.36,clear sky,36.6508,53.299,اپارتمان قومش
282,Arona,ES,68.83,scattered clouds,28.0996,-16.681,Paradise Court
285,Mananara,MG,68.13,light rain,-16.1667,49.7667,Chez Roger
286,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
291,Shetpe,KZ,66.6,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
292,Aloleng,PH,79.48,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
294,Bandarbeyla,SO,78.6,overcast clouds,9.4942,50.8122,JABIR HOTEL
295,Vila Franca Do Campo,PT,68.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
296,Shingu,JP,73.9,overcast clouds,33.7333,135.9833,Shingu UI Hotel
297,Gorgan,IR,67.96,clear sky,36.8387,54.4348,Khayyam Motel
298,Cabcab,PH,82.18,overcast clouds,13.6268,124.0515,Mayon View Private Resort (for sale)
299,Lazaro Cardenas,MX,83.62,broken clouds,17.9583,-102.2,quinta antigua
300,Korhogo,CI,72.27,broken clouds,9.45,-5.6333,Hôtel Tchinbota
302,Impfondo,CG,67.93,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
303,Natal,BR,79.02,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
304,Lagoa,PT,68.65,broken clouds,39.05,-27.9833,Casa Das Faias
306,Champerico,GT,87.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
307,Clarence Town,AU,67.06,clear sky,-32.5833,151.7833,River Downs Cottage
309,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
310,Bengkulu,ID,73.33,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
311,Santo Antonio Do Sudoeste,BR,74.61,overcast clouds,-26.0736,-53.7253,Hotel Frontera
312,Hami,CN,72.63,broken clouds,42.8,93.45,Laoyutang Resort
315,Nishihara,JP,78.85,few clouds,26.1842,127.7558,Minshuku Agaihama
317,Soyo,AO,73.92,broken clouds,-6.1349,12.3689,Hotel Mpampa
318,Yatou,CN,73.04,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
