City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Black Diamond,US,2021-09-19 17:21:28,47.3087,-122.0032,57.79,90,99,1.99
230,Sulina,RO,2021-09-19 17:21:29,45.1559,29.6536,68.47,60,41,8.79
231,Chapais,CA,2021-09-19 17:21:29,49.7834,-74.8492,55.18,43,35,5.1
232,San Jeronimo,PE,2021-09-19 17:21:29,-11.9472,-75.2829,63.77,34,20,2.19
233,Dingle,PH,2021-09-19 17:21:29,10.9995,122.6711,75.65,92,100,2.93
234,Vanimo,PG,2021-09-19 17:21:30,-2.6741,141.3028,76.98,86,100,2.48
235,Whitley Bay,GB,2021-09-19 17:21:30,55.0397,-1.4471,64.27,84,75,10.36
236,Timizart,DZ,2021-09-19 17:21:30,36.8,4.2667,77.49,60,0,5.39
237,Carballo,ES,2021-09-19 17:21:30,43.213,-8.691,67.77,85,82,5.84
238,Challapata,BO,2021-09-19 17:21:31,-18.9,-66.7667,60.82,26,3,12.39
239,Gull Lake,CA,2021-09-19 17:21:31,50.1001,-108.4847,57.56,47,95,11.7
240,Yankton,US,2021-09-19 17:21:00,42.8711,-97.3973,82.65,51,1,26.46
241,Dongsheng,CN,2021-09-19 17:21:31,39.8161,109.9776,56.77,60,96,10.6
242,Inuvik,CA,2021-09-19 17:21:31,68.3499,-133.7218,41.04,84,75,2.3
243,Coihaique,CL,2021-09-19 17:21:32,-45.5752,-72.0662,52.41,46,40,9.22
244,Plouzane,FR,2021-09-19 17:21:32,48.3833,-4.6167,61.12,72,20,11.5
245,Montepuez,MZ,2021-09-19 17:21:32,-13.1256,38.9997,77.43,31,47,10.54
246,Moron,AR,2021-09-19 17:21:33,-34.6534,-58.6198,65.84,90,89,5.01
247,Vauvert,FR,2021-09-19 17:21:33,43.7,4.2833,71.19,60,0,3.44
248,Kolda,SN,2021-09-19 17:21:33,12.8833,-14.95,86.31,70,40,4.61
249,Port Blair,IN,2021-09-19 17:21:33,11.6667,92.75,80.51,83,86,3.56
250,Souillac,MU,2021-09-19 17:21:34,-20.5167,57.5167,70.18,60,75,11.5
251,La Palma,US,2021-09-19 17:21:34,33.8464,-118.0467,78.96,77,75,4.61
252,Limbang,MY,2021-09-19 17:21:34,4.75,115.0,77.11,93,100,0.43
253,Bilibino,RU,2021-09-19 17:21:34,68.0546,166.4372,16.34,91,27,4.99
254,Tynda,RU,2021-09-19 17:21:35,55.1667,124.7167,35.35,92,41,1.45
255,Bambous Virieux,MU,2021-09-19 17:21:35,-20.3428,57.7575,70.05,60,75,11.5
256,Zaraza,VE,2021-09-19 17:21:35,9.3503,-65.3245,86.18,63,75,6.62
257,Los Alamos,US,2021-09-19 17:21:36,35.8881,-106.307,72.79,56,75,1.99
258,Sosenskiy,RU,2021-09-19 17:21:36,54.059,35.9623,44.31,95,100,15.19
259,Slave Lake,CA,2021-09-19 17:21:36,55.2834,-114.769,46.38,93,90,12.66
260,College,US,2021-09-19 17:17:25,64.8569,-147.8028,39.15,92,90,0.0
261,Rio Grande,BR,2021-09-19 17:21:37,-32.035,-52.0986,71.71,86,99,9.84
262,Fuente Palmera,ES,2021-09-19 17:21:37,37.7049,-5.0996,88.75,20,5,3.24
263,Vallenar,CL,2021-09-19 17:21:37,-28.5708,-70.7581,71.35,28,59,9.46
264,Moree,AU,2021-09-19 17:21:37,-29.4667,149.85,48.22,76,0,12.66
265,Sharan,RU,2021-09-19 17:21:38,54.8167,54.0,37.98,69,66,4.07
266,Wattegama,LK,2021-09-19 17:20:17,6.7989,81.4808,79.3,81,68,4.27
267,Salaga,GH,2021-09-19 17:21:38,8.5508,-0.5188,82.98,74,94,3.67
268,Lagoa,PT,2021-09-19 17:21:38,39.05,-27.9833,68.27,65,17,14.03
269,Leh,IN,2021-09-19 17:21:39,34.1667,77.5833,64.06,29,0,4.27
270,Ponta Do Sol,PT,2021-09-19 17:20:30,32.6667,-17.1,77.13,64,32,4.27
271,Westport,US,2021-09-19 17:21:39,41.1415,-73.3579,77.99,46,1,1.01
272,Kaitangata,NZ,2021-09-19 17:21:39,-46.2817,169.8464,40.32,94,20,6.76
273,Tokur,RU,2021-09-19 17:21:39,53.1333,132.9,28.44,95,4,4.09
274,Porto Novo,BJ,2021-09-19 17:21:40,6.4965,2.6036,82.22,73,59,9.1
275,Acapulco,MX,2021-09-19 17:21:40,16.8634,-99.8901,87.62,66,20,0.0
276,Lamar,US,2021-09-19 17:21:40,33.6668,-95.5836,88.65,67,20,0.0
277,Kalmunai,LK,2021-09-19 17:21:41,7.4167,81.8167,81.5,82,54,8.66
278,San Juan,AR,2021-09-19 17:18:47,-31.5375,-68.5364,75.72,22,0,17.43
279,Thinadhoo,MV,2021-09-19 17:21:41,0.5333,72.9333,83.7,71,99,3.22
280,Zhigansk,RU,2021-09-19 17:21:41,66.7697,123.3711,30.43,83,72,10.42
281,Pangnirtung,CA,2021-09-19 17:20:28,66.1451,-65.7125,37.4,60,75,19.57
282,Damietta,EG,2021-09-19 17:21:41,31.4165,31.8133,80.49,62,0,8.75
283,Baghdad,IQ,2021-09-19 17:20:12,33.3406,44.4009,91.31,21,0,9.22
284,Pevek,RU,2021-09-19 17:21:42,69.7008,170.3133,30.74,74,100,10.42
285,Oriximina,BR,2021-09-19 17:21:42,-1.7656,-55.8661,95.92,39,7,5.14
286,Srednekolymsk,RU,2021-09-19 17:21:42,67.45,153.6833,27.46,68,100,19.13
287,Isangel,VU,2021-09-19 17:21:43,-19.55,169.2667,68.38,69,6,10.96
288,Anjozorobe,MG,2021-09-19 17:21:43,-18.4,47.8667,55.72,91,97,6.64
289,Sinnamary,GF,2021-09-19 17:21:43,5.3833,-52.95,84.83,69,93,9.19
290,Irbeyskoye,RU,2021-09-19 17:21:43,55.6428,95.4522,52.95,88,100,1.66
291,Cayenne,GF,2021-09-19 17:21:44,4.9333,-52.3333,89.64,73,75,5.99
292,Codrington,AU,2021-09-19 17:20:21,-38.2667,141.9667,47.12,79,65,21.05
293,Los Llanos De Aridane,ES,2021-09-19 17:20:07,28.6585,-17.9182,73.15,82,20,12.66
